Обозначение	Тип	Наименование	Ревизия	Описание
TST-5724-1811-001-0021	sdb_DetailItem	Обшивка внешняя	003	Обшивка внешняя
TST-5724-1811-002-0011	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1811-002-0021	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1820-001-D510	sdb_PsAssyItem	Крышка 2. ПСК	003	Крышка 2. ПСК
TST-5724-1820-002-D510	sdb_PsAssyItem	Крышка 2. ПСК	003	Крышка 2. ПСК
TST-5724-1820-011-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1820-011-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1820-012-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1820-012-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1820-013-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1820-013-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1821-001-0011	sdb_DetailItem	Обшивка внешняя	003	Обшивка внешняя
TST-5724-1821-001-0021	sdb_DetailItem	Обшивка внешняя	003	Обшивка внешняя
TST-5724-1821-002-0011	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1821-002-0021	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1830-001-D510	sdb_PsAssyItem	Крышка 3. ПСК	004	Крышка 3. ПСК
TST-5724-1830-002-D510	sdb_PsAssyItem	Крышка 3. ПСК	004	Крышка 3. ПСК
TST-5724-1830-011-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1830-011-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1830-012-0011	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1830-012-0021	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1830-013-0011	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1830-013-0021	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1830-014-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1830-014-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1830-021-0011	sdb_DetailItem	Накладка	003	Накладка
TST-5724-1830-021-0021	sdb_DetailItem	Накладка	003	Накладка
TST-5724-1831-001-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1831-001-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1831-002-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1831-002-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1831-003-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1831-003-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1831-004-0011	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1831-004-0021	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1831-005-0011	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1831-005-0021	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1831-006-0011	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1831-006-0021	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1840-001-D510	sdb_PsAssyItem	Крышка 4. ПСК	003	Крышка 4. ПСК
TST-5724-1840-002-D510	sdb_PsAssyItem	Крышка 4. ПСК	003	Крышка 4. ПСК
TST-5724-1840-011-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1840-011-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1840-012-0011	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1840-012-0021	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1840-013-0011	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1840-013-0021	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1840-014-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1840-014-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1840-021-0011	sdb_DetailItem	Накладка	003	Накладка
TST-5724-1840-021-0021	sdb_DetailItem	Накладка	003	Накладка
TST-5724-1841-001-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1841-001-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1841-002-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1841-002-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1841-003-0011	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1841-003-0021	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1841-004-0011	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1841-004-0021	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1841-005-0011	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1841-005-0021	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1850-001-D510	sdb_PsAssyItem	Крышка 5. ПСК	003	Крышка 5. ПСК
TST-5724-1850-002-D510	sdb_PsAssyItem	Крышка 5. ПСК	003	Крышка 5. ПСК
TST-5724-1850-011-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1850-011-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1850-012-0011	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1850-012-0021	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1850-013-0011	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1850-013-0021	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1850-014-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1850-014-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1850-021-0011	sdb_DetailItem	Накладка	003	Накладка
TST-5724-1850-021-0021	sdb_DetailItem	Накладка	003	Накладка
TST-5724-1851-001-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1851-001-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1851-002-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1851-002-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1851-003-0011	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1851-003-0021	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1851-004-0011	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1851-004-0021	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1851-005-0011	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1851-005-0021	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1860-001-D510	sdb_PsAssyItem	Крышка 6. ПСК	004	Крышка 6. ПСК
TST-5724-1860-002-D510	sdb_PsAssyItem	Крышка 6. ПСК	004	Крышка 6. ПСК
TST-5724-1860-011-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1860-011-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1861-001-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1861-001-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1861-002-0011	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1861-002-0021	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1861-003-0011	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1861-003-0021	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1861-004-0011	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1861-004-0021	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1870-001-D510	sdb_PsAssyItem	Крышка 7. ПСК	004	Крышка 7. ПСК
TST-5724-1870-002-D510	sdb_PsAssyItem	Крышка 7. ПСК	004	Крышка 7. ПСК
TST-5724-1870-011-0011	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1870-011-0021	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1870-012-0011	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1870-012-0021	sdb_DetailItem	Профиль	004	Профиль
TST-5724-1870-013-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1870-013-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1870-014-0011	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1870-014-0021	sdb_DetailItem	Профиль	003	Профиль
TST-5724-1870-021-0011	sdb_DetailItem	Накладка	003	Накладка
TST-5724-1870-021-0021	sdb_DetailItem	Накладка	003	Накладка
TST-5724-1871-001-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1871-001-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1871-002-0011	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1871-002-0021	sdb_DetailItem	Сотовый заполнитель	004	Сотовый заполнитель
TST-5724-1871-003-0011	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1871-003-0021	sdb_DetailItem	Обшивка внешняя	004	Обшивка внешняя
TST-5724-1871-004-0011	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1871-004-0021	sdb_DetailItem	Обшивка внутренняя	004	Обшивка внутренняя
TST-5724-1871-005-0011	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1871-005-0021	sdb_DetailItem	Молниезащита	001	Молниезащита
TST-5724-1901-001-0011	sdb_DetailItem	Лента	004	Лента
TST-5724-1901-001-0021	sdb_DetailItem	Лента	004	Лента
TST-5724-1901-001-D510	sdb_PsAssyItem	Лента 1. ПСК	002	Лента 1. ПСК
TST-5724-1901-002-0011	sdb_DetailItem	Лента	004	Лента
TST-5724-1901-002-0021	sdb_DetailItem	Лента	004	Лента
TST-5724-1901-002-D510	sdb_PsAssyItem	Лента 1. ПСК	002	Лента 1. ПСК
TST-5724-1901-003-0011	sdb_DetailItem	Лента	004	Лента
TST-5724-1901-003-0021	sdb_DetailItem	Лента	004	Лента
TST-5724-1901-004-0011	sdb_DetailItem	Лента	004	Лента
TST-5724-1901-004-0021	sdb_DetailItem	Лента	004	Лента
TST-5724-1903-001-0011	sdb_DetailItem	Лента	004	Лента
TST-5724-1903-001-0021	sdb_DetailItem	Лента	004	Лента
TST-5724-1903-001-D510	sdb_PsAssyItem	Лента 3. ПСК	002	Лента 3. ПСК
TST-5724-1903-002-0011	sdb_DetailItem	Лента	004	Лента
TST-5724-1903-002-0021	sdb_DetailItem	Лента	004	Лента
TST-5724-1903-002-D510	sdb_PsAssyItem	Лента 3. ПСК	002	Лента 3. ПСК
TST-5724-1905-001-0011	sdb_DetailItem	Лента	003	Лента
TST-5724-1905-001-0021	sdb_DetailItem	Лента	003	Лента
TST-5724-1905-001-D510	sdb_PsAssyItem	Лента 5. ПСК	002	Лента 5. ПСК
TST-5724-1905-002-D510	sdb_PsAssyItem	Лента 5. ПСК	002	Лента 5. ПСК
TST-5724-1906-001-0011	sdb_DetailItem	Лента	003	Лента
TST-5724-1906-001-0021	sdb_DetailItem	Лента	003	Лента
TST-5724-1906-001-D510	sdb_PsAssyItem	Лента 6. ПСК	002	Лента 6. ПСК
TST-5724-1906-002-0011	sdb_DetailItem	Лента	003	Лента
TST-5724-1906-002-0021	sdb_DetailItem	Лента	003	Лента
TST-5724-1906-002-D510	sdb_PsAssyItem	Лента 6. ПСК	002	Лента 6. ПСК
TST-5724-1906-003-0011	sdb_DetailItem	Лента	002	Лента
TST-5724-1906-003-0021	sdb_DetailItem	Лента	002	Лента
TST-5724-1909-001-0011	sdb_DetailItem	Лента	002	Лента
TST-5724-1909-001-0021	sdb_DetailItem	Лента	002	Лента
TST-5724-1909-001-D510	sdb_PsAssyItem	Лента 9. ПСК	002	Лента 9. ПСК
TST-5724-1909-002-0011	sdb_DetailItem	Лента	003	Лента
TST-5724-1909-002-0021	sdb_DetailItem	Лента	003	Лента
TST-5724-1909-002-D510	sdb_PsAssyItem	Лента 9. ПСК	002	Лента 9. ПСК
TST-5724-1910-001-D510	sdb_PsAssyItem	Крышка 1. ПСК	003	Крышка 1. ПСК
TST-5724-1910-002-D510	sdb_PsAssyItem	Крышка 1. ПСК	003	Крышка 1. ПСК
TST-5724-1910-011-0011	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1910-011-0021	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1911-001-0011	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1911-001-0021	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1911-010-0011	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-1911-010-0021	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-1920-001-D510	sdb_PsAssyItem	Крышка 2. ПСК	003	Крышка 2. ПСК
TST-5724-1920-002-D510	sdb_PsAssyItem	Крышка 2. ПСК	003	Крышка 2. ПСК
TST-5724-1920-011-0011	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1920-011-0021	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1920-021-0011	sdb_DetailItem	Петля 1	005	Петля 1
TST-5724-1920-031-0011	sdb_DetailItem	Петля 1	005	Петля 1
TST-5724-1920-041-0011	sdb_DetailItem	Шомпол 1	003	Шомпол 1
TST-5724-1920-041-0021	sdb_DetailItem	Шомпол 1	003	Шомпол 1
TST-5724-1921-001-0011	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1921-001-0021	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1921-010-0011	sdb_DetailItem	Сетка молниезащиты	002	Сетка молниезащиты
TST-5724-1921-010-0021	sdb_DetailItem	Сетка молниезащиты	002	Сетка молниезащиты
TST-5724-1930-001-D510	sdb_PsAssyItem	Крышка 3. ПСК	003	Крышка 3. ПСК
TST-5724-1930-002-D510	sdb_PsAssyItem	Крышка 3. ПСК	003	Крышка 3. ПСК
TST-5724-1930-011-0011	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1930-011-0021	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1931-001-0011	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1931-001-0021	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1931-010-0011	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-1931-010-0021	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-1940-001-D510	sdb_PsAssyItem	Крышка 4. ПСК	004	Крышка 4. ПСК
TST-5724-1940-002-D510	sdb_PsAssyItem	Крышка 4. ПСК	004	Крышка 4. ПСК
TST-5724-1940-011-0011	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1940-011-0021	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1940-012-0011	sdb_DetailItem	Профиль 2	002	Профиль 2
TST-5724-1940-012-0021	sdb_DetailItem	Профиль 2	002	Профиль 2
TST-5724-1940-021-0011	sdb_DetailItem	Петля 1	006	Петля 1
TST-5724-1940-031-0011	sdb_DetailItem	Петля 1	006	Петля 1
TST-5724-1940-041-0011	sdb_DetailItem	Шомпол 1	003	Шомпол 1
TST-5724-1940-041-0021	sdb_DetailItem	Шомпол 1	003	Шомпол 1
TST-5724-1940-042-0011	sdb_DetailItem	Шомпол 2	002	Шомпол 2
TST-5724-1940-042-0021	sdb_DetailItem	Шомпол 2	002	Шомпол 2
TST-5724-1941-001-0011	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1941-001-0021	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1941-003-0011	sdb_DetailItem	Обшивка внутренняя	005	Обшивка внутренняя
TST-5724-1941-003-0021	sdb_DetailItem	Обшивка внутренняя	005	Обшивка внутренняя
TST-5724-1941-005-0011	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1941-005-0021	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1941-010-0011	sdb_DetailItem	Сетка молниезащиты	002	Сетка молниезащиты
TST-5724-1941-010-0021	sdb_DetailItem	Сетка молниезащиты	002	Сетка молниезащиты
TST-5724-1950-001-D510	sdb_PsAssyItem	Крышка 5. ПСК	003	Крышка 5. ПСК
TST-5724-1950-002-D510	sdb_PsAssyItem	Крышка 5. ПСК	003	Крышка 5. ПСК
TST-5724-1950-011-0011	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1950-011-0021	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1951-001-0011	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1951-001-0021	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1951-010-0011	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-1951-010-0021	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-1960-001-D510	sdb_PsAssyItem	Крышка 6. ПСК	003	Крышка 6. ПСК
TST-5724-1960-002-D510	sdb_PsAssyItem	Крышка 6. ПСК	003	Крышка 6. ПСК
TST-5724-1960-011-0011	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1960-011-0021	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1961-001-0011	sdb_DetailItem	Обшивка внешняя	006	Обшивка внешняя
TST-5724-1961-001-0021	sdb_DetailItem	Обшивка внешняя	006	Обшивка внешняя
TST-5724-1961-003-0011	sdb_DetailItem	Обшивка внутренняя	006	Обшивка внутренняя
TST-5724-1961-003-0021	sdb_DetailItem	Обшивка внутренняя	006	Обшивка внутренняя
TST-5724-1961-005-0011	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1961-005-0021	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1961-010-0011	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-1961-010-0021	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-1970-001-D510	sdb_PsAssyItem	Крышка 7. ПСК	005	Крышка 7. ПСК
TST-5724-1970-002-D510	sdb_PsAssyItem	Крышка 7. ПСК	005	Крышка 7. ПСК
TST-5724-1970-011-0011	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1970-011-0021	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1970-012-0011	sdb_DetailItem	Профиль 2	004	Профиль 2
TST-5724-1970-012-0021	sdb_DetailItem	Профиль 2	004	Профиль 2
TST-5724-1970-031-0011	sdb_DetailItem	Петля 1	006	Петля 1
TST-5724-1970-041-0011	sdb_DetailItem	Шомпол 1	003	Шомпол 1
TST-5724-1970-041-0021	sdb_DetailItem	Шомпол 1	003	Шомпол 1
TST-5724-1970-042-0011	sdb_DetailItem	Шомпол 2	003	Шомпол 2
TST-5724-1970-042-0021	sdb_DetailItem	Шомпол 2	003	Шомпол 2
TST-5724-1971-001-0011	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1971-001-0021	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1971-003-0011	sdb_DetailItem	Обшивка внутренняя	005	Обшивка внутренняя
TST-5724-1971-003-0021	sdb_DetailItem	Обшивка внутренняя	005	Обшивка внутренняя
TST-5724-1971-005-0011	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1971-005-0021	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1971-010-0011	sdb_DetailItem	Сетка молниезащиты	002	Сетка молниезащиты
TST-5724-1971-010-0021	sdb_DetailItem	Сетка молниезащиты	002	Сетка молниезащиты
TST-5724-1980-001-D510	sdb_PsAssyItem	Крышка 8. ПСК	004	Крышка 8. ПСК
TST-5724-1980-002-D510	sdb_PsAssyItem	Крышка 8. ПСК	004	Крышка 8. ПСК
TST-5724-1980-011-0011	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1980-011-0021	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1980-021-0011	sdb_DetailItem	Петля 1	004	Петля 1
TST-5724-1980-031-0011	sdb_DetailItem	Петля 1	004	Петля 1
TST-5724-1980-041-0011	sdb_DetailItem	Шомпол 1	002	Шомпол 1
TST-5724-1980-041-0021	sdb_DetailItem	Шомпол 1	002	Шомпол 1
TST-5724-1980-042-0011	sdb_DetailItem	Шомпол 2	002	Шомпол 2
TST-5724-1980-042-0021	sdb_DetailItem	Шомпол 2	002	Шомпол 2
TST-5724-1981-001-0011	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1981-001-0021	sdb_DetailItem	Обшивка внешняя	005	Обшивка внешняя
TST-5724-1981-003-0011	sdb_DetailItem	Обшивка внутренняя	005	Обшивка внутренняя
TST-5724-1981-003-0021	sdb_DetailItem	Обшивка внутренняя	005	Обшивка внутренняя
TST-5724-1981-005-0011	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1981-005-0021	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1981-010-0011	sdb_DetailItem	Сетка молниезащиты	002	Сетка молниезащиты
TST-5724-1981-010-0021	sdb_DetailItem	Сетка молниезащиты	002	Сетка молниезащиты
TST-5724-1990-001-D510	sdb_PsAssyItem	Крышка 9. ПСК	003	Крышка 9. ПСК
TST-5724-1990-002-D510	sdb_PsAssyItem	Крышка 9. ПСК	003	Крышка 9. ПСК
TST-5724-1990-011-0011	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1990-011-0021	sdb_DetailItem	Профиль 1	003	Профиль 1
TST-5724-1991-001-0011	sdb_DetailItem	Обшивка внешняя	006	Обшивка внешняя
TST-5724-1991-001-0021	sdb_DetailItem	Обшивка внешняя	006	Обшивка внешняя
TST-5724-1991-003-0011	sdb_DetailItem	Обшивка внутренняя	006	Обшивка внутренняя
TST-5724-1991-003-0021	sdb_DetailItem	Обшивка внутренняя	006	Обшивка внутренняя
TST-5724-1991-005-0011	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1991-005-0021	sdb_DetailItem	Сотовый заполнитель 1	004	Сотовый заполнитель 1
TST-5724-1991-010-0011	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-1991-010-0021	sdb_DetailItem	Сетка молниезащиты	003	Сетка молниезащиты
TST-5724-2001-001-D510	sdb_PsAssyItem	Интерфейсный крепеж. ПСК	004	Интерфейсный крепеж. ПСК
TST-5724-2001-002-D510	sdb_PsAssyItem	Интерфейсный крепеж. ПСК	004	Интерфейсный крепеж. ПСК
TST-5724-2001-101-0011	sdb_DetailItem	Болт	004	Болт
TST-5724-2001-102-0011	sdb_DetailItem	Болт	003	Болт
TST-5724-2001-103-0011	sdb_DetailItem	Болт	003	Болт
TST-5724-2001-104-0011	sdb_DetailItem	Болт	003	Болт
TST-5724-2001-201-0011	sdb_DetailItem	Втулка	003	Втулка
TST-5724-2001-202-0011	sdb_DetailItem	Втулка	002	Втулка
TST-5724-2001-203-0011	sdb_DetailItem	Втулка	001	Втулка
TST-5724-2001-204-0011	sdb_DetailItem	Втулка	002	Втулка
TST-5724-2001-302-0011	sdb_DetailItem	Фиксатор	003	Фиксатор
TST-5724-2001-303-0011	sdb_DetailItem	Фиксатор	002	Фиксатор
TST-5724-2100-001-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-001-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-002-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-002-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-003-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-003-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-004-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-004-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-005-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-005-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-006-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2100-006-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2110-001-D510	sdb_PsAssyItem	Кронштейн привода 1. ПСК	004	Кронштейн привода 1. ПСК
TST-5724-2110-002-D510	sdb_PsAssyItem	Кронштейн привода 1. ПСК	002	Кронштейн привода 1. ПСК
TST-5724-2111-001-0011	sdb_DetailItem	Кронштейн привода 1	004	Кронштейн привода 1
TST-5724-2111-001-0021	sdb_DetailItem	Кронштейн привода 1	002	Кронштейн привода 1
TST-5724-2111-002-0011	sdb_DetailItem	Втулка	003	Втулка
TST-5724-2111-003-0011	sdb_DetailItem	Штифт	003	Штифт
TST-5724-2130-001-D510	sdb_PsAssyItem	Кронштейн привода 2. ПСК	004	Кронштейн привода 2. ПСК
TST-5724-2130-002-D510	sdb_PsAssyItem	Кронштейн привода 2. ПСК	002	Кронштейн привода 2. ПСК
TST-5724-2131-001-0011	sdb_DetailItem	Кронштейн привода 2	004	Кронштейн привода 2
TST-5724-2131-001-0021	sdb_DetailItem	Кронштейн привода 2	002	Кронштейн привода 2
TST-5724-2210-001-0011	sdb_DetailItem	Кронштейн навески 1 элерона	005	Кронштейн навески 1 элерона
TST-5724-2210-001-0021	sdb_DetailItem	Кронштейн навески 1 элерона	005	Кронштейн навески 1 элерона
TST-5724-2210-001-D510	sdb_PsAssyItem	Кронштейн навески 1 элерона. ПСК	004	Кронштейн навески 1 элерона. ПСК
TST-5724-2210-002-D510	sdb_PsAssyItem	Кронштейн навески 1 элерона. ПСК	004	Кронштейн навески 1 элерона. ПСК
TST-5724-2210-006-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2210-006-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2210-007-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2210-007-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2210-008-0011	sdb_DetailItem	Прокладка	002	Прокладка
TST-5724-2210-008-0021	sdb_DetailItem	Прокладка	002	Прокладка
TST-5724-2210-009-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2210-009-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2210-011-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2210-011-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5724-2210-012-0011	sdb_DetailItem	Прокладка	002	Прокладка
TST-5724-2210-012-0021	sdb_DetailItem	Прокладка	002	Прокладка
TST-5724-2211-001-0011	sdb_DetailItem	Серьга	005	Серьга
TST-5724-2220-001-0011	sdb_DetailItem	Кронштейн навески 2 элерона	005	Кронштейн навески 2 элерона
TST-5724-2220-001-0021	sdb_DetailItem	Кронштейн навески 2 элерона	005	Кронштейн навески 2 элерона
